pop,pop_dens,error,price,predicted_price
1128,566.8341708543,44867.33922021069,125477,80609.66077978931
473,267.2316384181,95011.94641831523,169871,74859.05358168477
6738,3133.9534883721,29505.328487972278,78450,107955.32848797228
35,6.2949640288,25938.948201189603,43375,69313.9482011896
3775,1165.1234567901,91250.61834108879,180969,89718.38165891121
451,173.4615384615,34458.14930896368,107273,72814.85069103632
7436,1022.833562586,70910.14310333059,156054,85143.85689666941
684,178.590078329,35915.97564251913,108674,72758.02435748087
7059,345.8598726115,55038.66272691575,126918,71879.33727308425
2180,1009.2592592593,25809.31293116942,62263,88072.31293116942
3004,1938.064516129,33655.857936726694,66958,100613.8579367267
6362,417.1803278689,28050.869122322038,101981,73930.13087767796
1423,737.3056994819,134664.9061249761,218358,83693.09387502387
9041,1952.6997840173,39322.6933701846,58710,98032.6933701846
1241,109.3392070485,77365.01966538452,148149,70783.98033461548
5350,305.7142857143,231235.19581763167,303440,72204.80418236833
3024,448.6646884273,26106.11606671862,103022,76915.88393328138
986,225.1141552511,52695.88483055038,126264,73568.11516944962
12413,5642.2727272727,32929.25107703863,63834,96763.25107703863
38197,4116.0560344828,37845.319342414674,66840,104685.31934241467
15844,4136.8146214099,30007.732399001747,77188,107195.73239900175
3755,312.3960066556,25481.360740429533,99185,73703.63925957047
6783,2268.5618729097,25177.562027186053,127300,102122.43797281395
441,23.1011000524,36108.45441683788,33514,69622.45441683788
262,152.3255813953,27570.657091181332,100214,72643.34290881867
4038,1238.6503067485,25378.993052137346,65265,90643.99305213735
1221,154.1666666667,30660.18218201722,102670,72009.81781798278
773,1840.4761904762,44610.61951884208,55648,100258.61951884208
2118,613.9130434783,359821.7629847356,440736,80914.2370152644
1401,270.9864603482,44076.949341569954,118500,74423.05065843005
5776,403.9160839161,93766.22653643943,168061,74294.77346356057
9756,2311.8483412322,34819.34911189607,66578,101397.34911189607
48,48.0,28497.16300074158,41974,70471.16300074158
5486,1001.094890511,122708.83286944151,208656,85947.16713055849
477,120.1511335013,31236.678573147234,103018,71781.32142685277
1238,117.0132325142,61911.47032940178,133084,71172.52967059822
1434,248.5268630849,84882.09913093942,158801,73918.90086906058
1374,291.1016949153,33781.12960411348,108651,74869.87039588652
8376,1899.3197278912,35454.13026275474,62113,97567.13026275474
5592,1934.9480968858,98197.87255948153,197391,99193.12744051847
14335,1200.5862646566,55363.03752172348,139797,84433.96247827652
10467,1308.375,27194.177215053394,61116,88310.1772150534
3318,1215.3846153846,25497.013428250226,65175,90672.01342825023
2807,54.08477842,56982.57100943531,125610,68627.42899056469
6927,1273.3455882353,25812.05229951153,63824,89636.05229951153
1981,250.4424778761,35204.40217047077,108788,73583.59782952923
1526,978.2051282051,42990.10586397952,130830,87839.89413602048
3398,1544.5454545455,36621.02453082039,58776,95397.02453082039
2717,11.1640711674,29876.37275328346,37824,67700.37275328346
3223,873.4417344173,26144.253495696743,58892,85036.25349569674
2047,993.6893203883,26120.52883743326,113920,87799.47116256674
27746,2970.6638115632,35659.55854706699,65532,101191.55854706699
791,170.1075268817,110181.68407427034,182844,72662.31592572966
160,31.6205533597,56860.67301578236,126880,70019.32698421764
9504,2017.8343949045,31654.453391993186,66800,98454.45339199319
483,146.8085106383,57214.44015409674,129581,72366.55984590326
1594,880.6629834254,89942.2204489965,176072,86129.7795510035
13079,2286.5384615385,25060.236891825654,74831,99891.23689182565
492,13.9100932994,30529.50358535128,38846,69375.50358535128
3476,843.6893203883,34042.81776942717,118397,84354.18223057283
10990,739.5693135935,26067.01380291168,103894,77826.98619708832
30156,2227.1787296898,25000.219938499882,62081,87081.21993849988
6153,8314.8648648649,33418.78419484988,80351,46932.21580515012
2457,459.2523364486,73503.47205431393,151563,78059.52794568607
639,387.2727272727,102260.35903121895,180063,77802.64096878105
319,6.8720379147,31876.623493737716,100747,68870.37650626228
4304,1515.4929577465,34473.022045251564,61990,96463.02204525156
1482,712.5,25694.662623488315,109933,84238.33737651168
8299,1356.045751634,98516.67163571589,189405,90888.32836428411
7809,1679.3548387097,29865.676734597422,66251,96116.67673459742
62615,824.6411168181,32036.512136022073,88005,55968.48786397793
685,326.1904761905,151529.4567384484,227889,76359.5432615516
234,76.9736842105,34009.5234152366,104705,70695.4765847634
1997,410.9053497942,63583.31389439662,140901,77317.68610560338
282,146.1139896373,38388.69443780316,110755,72366.30556219684
415,1296.875,26642.557692386923,69430,96072.55769238692
991,394.8207171315,51801.52833925445,129510,77708.47166074555
740,224.2424242424,42644.27182196437,116558,73913.72817803563
15793,3541.0313901345,43789.84281779095,147835,104045.15718220905
203951,12810.992462312,348765.02834917716,86711,-262054.02834917716
4273,225.8456659619,29952.562833223914,101320,71367.43716677609
450,15.6304272317,31362.57699663892,37633,68995.57699663892
6519,1021.7868338558,25261.9350032543,61201,86462.9350032543
860,318.5185185185,81850.813644452,157900,76049.186355548
1502,62.53122398,29087.927763685817,98489,69401.07223631418
6520,1160.1423487545,27557.102326597378,61382,88939.10232659738
30618,1415.5339805825,83124.29288599428,160456,77331.70711400572
3711,274.0768094535,94927.21850939775,167835,72907.78149060225
1319,19.5929887106,30410.090823511477,38048,68458.09082351148
1386,66.7308618199,33754.432534904656,103345,69590.56746509534
18791,2851.4415781487,33630.55861921575,65678,99308.55861921575
21014,3759.2128801431,28017.92306164179,71979,99996.92306164179
